1,1,2,0,0,1,1,2,0,1,1,2,0,1,1,3,3,0,0,0,1,2,0,1,1,3,3,0,0,1,1,2,0,0,1,1,2
2,1,1,0,1,1,3,3,5,2,2,0,1,2,2,5,0,0,1,4,0,1,1,1,5,1,1,0,1,1,2,3,3,0,0,1,1
3,3,0,2,2,2,4,1,5,3,3,0,0,0,1,1,1,2,0,1,1,1,2,3,3,0,0,1,2,2,0,1,1,1,0,0,1
4,4,0,1,3,3,0,0,1,1,1,0,1,1,1,2,2,5,5,1,2,3,3,0,0,1,4,1,1,3,3,5,5,0,1,2,0
5,1,1,0,0,0,0,1,1,0,0,1,2,3,3,0,0,1,2,2,0,0,1,2,2,0,1,2,5,5,5,5,1,1,3,3,0
6,2,3,3,0,1,2,0,0,1,1,1,0,0,0,1,1,1,1,3,3,0,5,5,1,2,2,0,0,1,1,1,2,2,2,0,3
7,2,0,0,2,2,2,5,0,0,1,2,0,1,3,3,0,0,1,2,2,0,1,1,0,0,1,1,0,1,2,2,0,1,1,1,0
8,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,4,2,0,0,1,2,2,0,0,0,1,1,1,2,0,5,5,0,1,3,3
9,1,0,0,1,3,3,5,0,1,2,0,1,1,0,2,2,0,5,0,1,3,3,0,0,1,1,2,2,5,1,1,2,3,3,0,0
10,0,0,1,1,1,1,4,1,0,0,0,1,2,0,0,1,3,3,0,0,1,4,1,1,1,2,0,1,1,3,3,0,2,2,0,1
11,1,1,1,0,1,1,0,2,2,0,1,2,0,0,5,1,3,3,0,0,1,4,1,1,2,0,3,3,1,1,0,0,0,1,1,0
12,0,1,1,0,0,0,1,2,0,1,3,3,5,5,5,0,1,2,0,0,1,4,1,1,1,0,0,1,1,0,1,1,1,0,1,1
13,0,2,2,0,0,1,2,3,3,0,0,1,4,2,5,5,5,1,1,1,0,1,2,2,3,3,0,0,1,1,5,5,5,1,2,2
14,1,2,0,1,1,1,3,3,0,0,1,2,2,0,1,4,5,5,5,0,1,3,3,0,2,2,0,1,1,1,2,2,5,1,1,1
15,2,0,3,3,0,4,1,1,1,1,2,0,0,1,3,3,0,0,1,1,0,2,2,5,1,1,2,0,1,1,3,3,0,0,2,2
16,0,1,1,1,2,0,0,1,2,3,3,0,0,1,1,2,2,0,4,1,0,1,1,1,0,5,4,2,2,0,1,1,3,3,0,0
17,3,3,0,0,1,2,2,2,0,1,1,1,1,2,2,0,1,1,4,0,1,1,0,3,3,5,5,0,1,2,0,0,1,2,3,3
18,1,1,2,2,3,3,5,0,1,2,0,1,3,3,0,5,5,1,2,2,2,0,1,2,0,4,1,1,3,3,0,0,1,1,1,1
19,1,0,3,3,0,1,1,0,2,2,0,0,4,1,1,1,1,0,1,1,0,4,3,3,0,0,1,2,5,5,5,5,0,1,1,1
20,1,1,0,0,0,1,3,3,0,0,0,1,1,1,5,3,3,0,0,0,1,2,2,5,5,1,1,1,1,0,1,2,2,0,0,4
21,4,0,1,1,1,2,0,1,1,0,2,2,2,5,1,1,2,3,3,0,0,1,1,2,0,0,0,1,1,1,2,3,3,0,0,4
22,2,2,2,0,1,1,4,0,0,1,1,3,3,0,5,0,0,1,1,2,2,0,1,1,1,3,3,0,2,2,0,1,1,1,0,4
23,0,1,1,2,2,0,1,1,1,1,3,3,0,0,5,5,1,2,2,3,3,0,0,1,2,2,2,0,1,1,1,1,0,0,1,4
24,3,3,0,1,1,1,2,5,5,0,1,1,1,2,2,2,0,1,1,0,1,1,0,1,1,1,1,3,3,0,5,5,1,1,2,2
25,1,1,1,0,0,1,1,2,3,3,0,0,1,1,0,1,1,2,3,3,0,0,0,1,1,0,3,3,0,0,1,1,2,2,0,1
