1,0,1,1,1,0,0,1,1,2,0,0,1,1,0,1,1,1,2,0,1,1,3,3,0,0,1,1,1,2,2
2,0,5,1,2,0,2,3,3,5,0,1,1,4,1,2,2,0,5,3,3,0,0,1,1,1,1,3,3,0,0
3,3,5,0,1,1,1,2,2,3,0,0,2,2,2,0,1,1,1,1,2,0,1,1,1,3,3,0,0,0,1
4,1,1,0,1,1,3,0,0,1,2,5,5,1,1,1,3,3,0,2,4,2,2,2,3,5,5,0,1,1,1
5,2,0,2,3,3,0,0,1,1,1,0,3,3,0,0,2,2,0,0,1,3,5,5,5,5,0,1,1,1,1
6,1,3,0,0,0,1,1,0,0,1,2,0,0,3,3,5,5,1,1,0,1,1,1,2,0,0,2,2,3,3
7,5,1,1,2,2,2,0,1,1,3,3,0,0,1,1,1,0,1,1,2,0,0,1,1,1,3,0,0,0,1
8,2,0,1,1,1,0,1,2,3,4,2,0,1,1,0,1,1,1,2,3,0,0,1,2,5,5,1,1,0,1
9,5,3,3,0,0,1,2,0,1,2,0,5,1,1,0,1,1,0,0,1,3,0,5,0,1,2,2,2,0,1
10,4,1,1,1,0,1,1,0,2,3,0,2,2,0,1,4,0,3,3,0,0,1,1,1,2,0,1,1,3,0
11,1,0,1,3,3,0,0,0,5,1,1,1,1,0,1,4,2,3,0,0,2,2,2,0,1,1,1,0,2,2
12,1,2,0,1,1,1,5,5,5,1,1,3,3,0,0,4,1,2,0,0,1,1,1,0,2,2,0,0,1,3
13,0,2,2,0,2,3,4,1,5,5,5,1,1,1,2,3,0,0,0,1,1,1,1,3,5,5,5,1,1,1
14,1,0,1,1,2,0,1,1,2,4,5,5,5,1,1,3,3,0,2,2,2,0,1,1,2,0,5,1,3,0
15,2,0,1,1,1,3,3,0,0,1,2,0,0,0,1,2,2,5,1,1,1,3,3,0,0,1,1,2,2,3
16,3,3,0,0,1,1,0,0,1,2,3,0,4,2,0,1,1,1,0,5,4,1,1,2,0,1,2,0,1,2
17,0,2,3,0,0,1,2,2,0,1,1,3,4,1,0,0,1,2,0,5,5,2,2,3,3,0,0,1,1,1
18,5,1,2,2,0,1,1,3,3,5,5,2,2,0,1,1,0,3,3,4,1,1,0,1,1,2,3,0,0,1
19,1,1,1,2,0,2,4,1,0,1,2,0,1,3,3,4,0,1,1,0,1,2,5,5,5,5,1,1,1,1
20,3,0,0,1,1,2,2,2,5,1,1,2,0,1,1,1,3,5,5,0,0,1,1,0,1,1,1,1,2,4
21,1,2,3,0,0,1,1,5,2,3,3,0,0,0,1,1,2,0,1,3,0,0,1,1,1,2,2,2,0,4
22,4,1,2,0,1,1,3,0,5,0,1,1,2,2,2,0,1,1,0,1,1,1,1,0,3,3,0,0,0,4
23,0,0,1,1,1,0,1,3,5,5,1,1,0,2,2,2,0,0,1,1,2,0,1,1,1,1,3,3,0,4
24,2,5,5,1,2,0,0,1,1,0,0,1,1,1,3,0,0,2,2,2,0,3,3,0,5,5,0,1,1,1
25,1,1,0,3,3,0,0,1,1,2,0,0,3,3,0,0,1,1,0,1,3,0,2,2,2,0,1,3,0,2
